Time, Pelvis_Acceleration
24.16474,174.0173
24.19723,147.9357
24.23751,136.1901
24.2689,103.3033
24.30637,48.13565
24.34076,53.94386
24.3736,70.36182
24.40622,61.34516
24.43934,40.3648
24.46807,99.12602
24.50415,130.4575
24.53293,53.18609
24.5687,43.4427
24.60263,48.04125
24.63412,82.91999
24.66947,85.12618
24.70038,77.68502
24.73636,90.5506
24.76955,91.96593
24.80172,103.0215
24.83453,223.5657
24.87064,263.0144
24.90259,353.5339
24.93627,42.14775
24.9682,154.0744
25.00316,225.0734
25.03204,276.3237
25.0636,166.7957
25.09865,154.0801
25.1307,230.0457
25.16734,159.0863
25.20167,134.7056
25.23398,141.0827
25.2657,167.6039
25.29856,318.3849
25.33288,319.5305
25.36786,184.4254
25.40072,104.2027
25.43556,329.1408
25.46859,302.2672
25.50468,460.7267
25.53716,491.0449
25.56549,310.9391
25.60216,331.4573
25.63551,349.5451
25.66616,869.9158
25.70253,409.974
25.73324,191.3245
25.76621,144.2551
25.79729,123.7205
25.835,133.7999
25.86853,113.9794
25.90062,155.2799
25.92925,195.6379
25.97086,221.9019
25.99879,211.9768
26.03172,305.445
26.0675,190.4616
26.09846,239.4944
26.13473,236.4615
26.16717,121.437
26.19897,251.5282
26.23623,359.835
26.27304,373.1167
26.30436,336.0721
26.3388,120.26
26.3714,177.228
26.40499,220.3708
26.44078,274.9323
26.47281,99.3608
26.50132,67.84751
26.53538,78.52122
26.56842,125.2951
26.60155,112.9445
26.63884,167.9005
26.67053,229.0077
26.70282,121.584
26.73958,78.90967
26.77053,81.4229
26.80294,132.6574
26.83796,127.2268
26.8699,96.51789
26.90276,134.206
26.93803,260.836
26.96973,186.7366
27.00594,148.2422
27.03784,91.83438
27.07455,150.6406
27.10723,113.578
27.13956,165.8025
27.17285,127.4918
27.20987,37.02695
27.24664,30.07097
27.27481,52.07119
27.30722,51.06414
27.34382,42.82276
27.3769,39.02425
27.40984,11.4436
27.44145,42.05273
27.47589,60.01765
27.5101,34.7178
27.54266,54.43129
27.57475,76.4036
27.60561,96.82645
27.64164,39.96179
27.68248,53.59887
27.71321,62.6973
27.74553,50.13755
27.7786,69.46018
27.81498,114.8857
27.85161,85.15158
27.88772,38.58389
27.92303,31.56579
27.95574,103.5422
27.99127,152.7097
28.02349,208.8846
28.05737,194.1138
28.09699,135.3463
28.13317,136.3306
28.1666,42.19825
28.20274,11.18591
28.2343,102.128
28.27094,59.27003
28.30219,53.70879
28.33631,70.07421
28.37381,55.18787
28.40851,141.9952
28.44334,78.39331
28.47598,77.94982
28.50702,55.37736
28.54278,31.52434
28.57542,38.71898
28.60766,33.81439
28.6448,27.66095
28.68133,201.1623
28.7176,161.7404
28.75395,119.8005
28.78699,216.3858
28.82379,117.6802
28.85563,140.9554
28.89225,193.0412
28.92945,171.7383
28.96253,140.7887
28.9934,378.7472
29.02974,548.5165
29.06944,312.8409
29.1011,205.2912
29.13561,190.8979
29.1678,74.41132
29.2042,200.4533
29.2398,161.3398
29.2711,57.13006
29.30401,191.1656
29.33537,231.7193
29.37317,72.53716
29.41226,16.57559
29.43576,431.1669
29.46571,478.3826
29.50081,375.9915
29.53559,257.458
29.56742,264.8614
29.59895,148.4913
29.63302,184.4948
29.67083,79.72626
29.70653,93.51336
29.73889,76.58952
29.77405,57.99986
29.80593,118.5944
29.83832,144.2958
29.87433,138.3054
29.90652,134.3712
29.94256,118.0731
29.97475,157.2578
30.01119,146.8094
30.0442,162.3923
30.07257,171.474
30.10747,110.8882
30.13877,88.48788
30.17914,44.76129
30.20917,5.555985
30.24521,12.59038
30.28287,27.2515
30.31682,27.11314
30.34847,33.14299
30.38434,88.57313
30.42119,116.4131
30.45752,96.24341
30.49264,141.5257
30.52907,110.9578
30.56418,109.3841
30.6007,113.368
30.63956,53.84803
30.67555,63.37156
30.70796,51.80569
30.73921,30.24289
30.77575,25.18173
30.80764,80.56466
30.84016,132.1263
30.87529,143.0071
30.90807,156.5671
30.93981,163.5528
30.97242,96.33855
31.00328,42.03504
31.03747,88.80116
31.06947,86.97736
31.10546,167.6743
31.13994,90.13824
31.17421,60.06581
31.20561,91.13441
31.24095,145.5176
31.27229,144.9997
31.30533,152.0944
31.34187,73.27763
31.37788,74.36253
31.40934,47.20615
31.44674,60.07956
31.47399,63.31224
31.51437,62.17201
31.54725,89.63073
31.58228,105.7582
31.62128,171.2464
31.65218,222.884
31.68781,128.7118
31.72385,137.1942
31.76057,27.65859
31.79515,182.0062
31.83125,297.814
31.8632,301.3533
31.89831,341.3767
31.93498,175.6322
31.96643,105.6708
32.00666,84.37828
32.03918,86.8259
32.07284,126.2591
32.10811,82.73473
32.14258,79.52397
32.17934,117.1324
32.21221,53.38177
32.24759,68.77028
32.28386,116.8494
32.32204,132.8003
32.35749,174.3215
32.38884,202.0404
32.42525,131.5609
32.45622,104.5383
32.4927,261.6778
32.52455,249.5907
32.55968,302.0526
32.59314,280.8907
32.62886,301.0739
32.66166,297.4226
32.69449,54.29136
32.72775,84.62804
32.76441,47.68089
32.79735,129.8143
32.82951,196.758
32.86618,186.1019
32.9001,222.9761
32.93433,147.5702
32.96725,117.9813
33.00491,70.43497
33.03578,20.12725
33.07166,18.91917
33.1031,46.90045
33.13842,53.81847
33.1701,68.97488
33.20757,57.47617
33.24017,46.81633
33.27766,49.83099
33.30667,55.74134
33.34044,51.13705
33.37212,41.64939
33.40817,49.7834
33.44075,89.44755
33.47304,94.30988
33.50572,95.18362
33.54052,83.61857
33.57271,13.52779
33.60425,13.30541
33.63622,86.97106
33.67592,59.95491
33.70316,146.5329
33.73832,145.0726
33.77385,67.68646
33.80141,101.5493
33.83807,65.5743
33.87136,57.49847
33.90858,58.22344
33.94096,52.32242
33.97607,19.14626
34.00878,143.3663
34.03928,201.5477
34.07605,199.0142
34.11053,149.4464
34.14229,133.75
34.1737,48.60021
34.21283,75.14536
34.24338,69.12791
34.275,132.7835
34.30706,78.19817
34.33808,33.97929
34.37318,77.21423
34.40851,67.68042
34.44217,60.8074
34.47645,32.61156
34.50868,107.5338
34.54519,408.5001
34.5776,864.8113
34.60938,836.6732
34.64179,815.507
34.67833,414.4075
34.71141,713.1223
34.74029,463.8819
34.77621,596.4739
34.80796,227.1186
34.84396,107.9437
34.87452,247.4192
34.90533,743.3983
34.94049,734.4107
34.97129,1661.766
35.00588,1088.617
35.03555,1110.127
35.06974,979.325
35.10814,320.6252
35.14338,207.5031
35.17265,96.60964
35.20769,47.58653
35.24284,37.33857
35.27786,36.43219
35.31174,14.11338
35.34487,15.45244
35.37855,3.080572
35.41132,142.7667
35.44733,105.156
35.48082,233.696
35.51473,324.9771
35.54501,100.4905
35.58156,88.21616
35.61609,60.05606
35.65132,53.42868
35.68231,26.19297
35.71792,0.0316429
35.75132,0.007154254
35.78216,0.006771415
