Time, Nose_Y
14.42864,-0.4720182
14.46643,-0.4695258
14.50481,-0.4645008
14.53022,-0.4580387
14.56343,-0.4488665
14.60013,-0.4373607
14.63641,-0.4307417
14.6676,-0.4255907
14.70423,-0.4220282
14.74207,-0.4183915
14.77656,-0.4146439
14.81421,-0.4143127
14.84681,-0.4157222
14.88603,-0.4201424
14.91851,-0.424068
14.95566,-0.4271728
14.99181,-0.4302893
15.02774,-0.4322838
15.06196,-0.4330713
15.0959,-0.4335731
15.1333,-0.4349369
15.16558,-0.4356135
15.19862,-0.4360525
15.23563,-0.4427566
15.26984,-0.4510112
15.30545,-0.4588267
15.34143,-0.4448651
15.37942,-0.424413
15.41149,-0.4012944
15.45073,-0.3791204
15.49079,-0.3794907
15.52648,-0.3799298
15.56392,-0.380191
15.60278,-0.3803685
15.63979,-0.3804789
15.67235,-0.3805536
15.71234,-0.3805457
15.74775,-0.380425
15.78468,-0.3802368
15.82269,-0.3799373
15.85556,-0.3795901
15.89816,-0.3790158
15.92947,-0.3783286
15.96351,-0.3776928
16.00144,-0.3771846
16.03782,-0.3768222
16.0792,-0.3765793
16.11243,-0.389138
16.14848,-0.4015834
16.18604,-0.4159294
16.22135,-0.4299376
16.25937,-0.4323009
16.29473,-0.4367518
16.32807,-0.4372159
16.36395,-0.438043
16.39456,-0.4378187
16.43008,-0.4355739
16.46973,-0.4363659
16.50103,-0.4368595
16.53407,-0.4378743
16.56527,-0.4393449
16.60163,-0.441303
16.63111,-0.4445259
16.67001,-0.4488311
16.69552,-0.4533506
16.7258,-0.4574726
16.75912,-0.4614636
16.79141,-0.4641822
16.82597,-0.4667226
16.85799,-0.4694157
16.89598,-0.4721116
16.93141,-0.4746585
16.9624,-0.4773057
16.99501,-0.4703489
17.02619,-0.4729272
17.06544,-0.4730464
17.10083,-0.4766973
17.13303,-0.4905981
17.16581,-0.4915937
17.19875,-0.4945391
17.23265,-0.4926748
17.26359,-0.4902868
17.30341,-0.4889476
17.33463,-0.4878663
17.36739,-0.4866397
17.39946,-0.4846069
17.43183,-0.4841756
17.46589,-0.4840462
17.50274,-0.4851266
17.53643,-0.4861613
17.56826,-0.4860022
17.60041,-0.4842542
17.63418,-0.4821458
17.66976,-0.4871949
17.70392,-0.4941182
17.73723,-0.5143756
17.76527,-0.5335418
17.80255,-0.5415016
17.83477,-0.5346214
17.86619,-0.5224372
17.8942,-0.505982
17.93293,-0.489823
17.96564,-0.4872485
17.99827,-0.478612
18.03183,-0.4766542
18.06733,-0.4782304
18.09868,-0.481032
18.13072,-0.4831094
18.16549,-0.4837332
18.19843,-0.4838491
18.23043,-0.4824618
18.26702,-0.4807288
18.2993,-0.478007
18.33489,-0.474902
18.36587,-0.4730278
18.40099,-0.4712605
18.43283,-0.4706113
18.4682,-0.4711353
18.5,-0.4712358
18.53201,-0.4719049
18.56718,-0.4731097
18.60141,-0.4741096
18.63199,-0.4752145
18.66506,-0.4755547
18.69833,-0.4750297
18.74112,-0.4744095
18.76039,-0.4738078
18.79517,-0.4737817
18.82638,-0.4741773
18.86209,-0.4754187
18.89906,-0.4768795
18.92785,-0.4782856
18.96461,-0.4795988
18.99188,-0.4784117
19.02887,-0.4770295
19.06634,-0.475549
19.09498,-0.473402
19.13222,-0.4727092
19.16409,-0.4716907
19.20087,-0.4709151
19.23401,-0.4697675
19.26575,-0.4682386
19.29973,-0.4665431
19.33069,-0.4647714
19.36525,-0.4644043
19.40137,-0.4646805
19.4294,-0.4649282
19.46621,-0.465613
19.49885,-0.4660345
19.53439,-0.466105
19.56777,-0.4665433
19.60051,-0.4664652
19.63378,-0.4659005
19.6654,-0.4653921
19.69747,-0.4639274
19.73384,-0.4624976
19.76135,-0.4612214
19.79255,-0.4604438
19.82531,-0.4607283
19.86273,-0.4608425
19.90002,-0.4609726
19.93526,-0.4614084
19.96845,-0.4618613
20.00019,-0.4626872
20.03476,-0.4640658
20.07142,-0.4651652
20.10197,-0.4670931
20.13416,-0.4687088
20.16954,-0.4704892
20.19666,-0.4720736
20.233,-0.4726776
20.26977,-0.473444
20.30245,-0.4738549
20.33454,-0.4740726
20.367,-0.4740604
20.40422,-0.4746035
20.43289,-0.4751031
20.46975,-0.4757076
20.50203,-0.4750724
20.53446,-0.4723397
20.56793,-0.4698982
20.60231,-0.4685898
20.63417,-0.4689296
20.67096,-0.4711087
20.70271,-0.4730458
20.73504,-0.473429
20.76754,-0.4733834
20.80153,-0.4730379
20.83519,-0.4723687
20.87832,-0.472012
20.90559,-0.4715284
20.93461,-0.477677
20.9689,-0.4805032
21.0055,-0.4728363
21.03444,-0.4738702
21.06681,-0.4677845
21.10352,-0.4652463
21.13561,-0.4735828
21.16684,-0.4735334
21.20257,-0.4736649
21.23428,-0.473792
21.27051,-0.4736405
21.30342,-0.4734892
21.33944,-0.4735883
21.37534,-0.4736784
21.40666,-0.4736177
21.43823,-0.4722186
21.4778,-0.4706027
21.50982,-0.4689194
21.54298,-0.4677307
21.57918,-0.4679797
21.61122,-0.4683687
21.6451,-0.469005
21.67835,-0.4689109
21.71781,-0.4687815
21.74867,-0.4682435
21.78358,-0.460592
21.81466,-0.4622479
21.84554,-0.4633396
21.87815,-0.4647406
21.91063,-0.4730694
21.94374,-0.4721755
21.98317,-0.4712253
22.01393,-0.4709145
22.05076,-0.4704645
22.07977,-0.4701084
22.11655,-0.4703592
22.14651,-0.4702043
22.18431,-0.4689677
22.21559,-0.4679454
22.25128,-0.466975
22.28345,-0.465875
22.31911,-0.4663036
22.352,-0.4663838
22.38784,-0.4664005
22.42125,-0.4667084
22.45245,-0.4666213
22.49174,-0.4668014
22.52316,-0.4666968
22.55988,-0.46638
22.59148,-0.466073
22.62365,-0.4656034
22.65607,-0.4657439
22.69102,-0.4654061
22.72743,-0.4656465
22.7602,-0.4660355
22.79361,-0.4661886
22.82673,-0.4671736
22.863,-0.4677061
22.9052,-0.4677302
22.92875,-0.4678061
22.9592,-0.4676433
22.99756,-0.467564
23.0292,-0.4679991
23.06507,-0.468255
23.09721,-0.4686151
23.13076,-0.4692899
23.1622,-0.4699053
23.19677,-0.4706752
23.22911,-0.4717937
23.26004,-0.472847
23.29649,-0.4739927
23.33195,-0.4751024
23.3658,-0.4764328
23.40193,-0.4770442
23.43512,-0.47866
23.46714,-0.4788211
23.50297,-0.4755197
23.53825,-0.4804478
23.56954,-0.4883298
23.60176,-0.4976397
23.63859,-0.5105349
23.67419,-0.5116419
23.70642,-0.5127879
23.73864,-0.5131449
23.76963,-0.5037776
23.8035,-0.500114
23.83579,-0.4929903
23.87217,-0.4847443
23.90419,-0.4852956
23.93192,-0.4844479
23.96688,-0.4838065
23.99823,-0.4847284
24.03392,-0.4854136
24.06973,-0.4855682
24.10116,-0.484027
24.13287,-0.4826151
24.16474,-0.4811206
24.19723,-0.4797255
24.23751,-0.4793433
24.2689,-0.4790909
24.30637,-0.4794206
24.34076,-0.479914
24.3736,-0.4801506
24.40622,-0.4802993
24.43934,-0.4804125
24.46807,-0.4806992
24.50415,-0.4811209
24.53293,-0.4818475
24.5687,-0.4828415
24.60263,-0.4837386
24.63412,-0.4844452
24.66947,-0.4847928
24.70038,-0.484683
24.73636,-0.4834968
24.76955,-0.4825047
24.80172,-0.4807904
24.83453,-0.4780537
24.87064,-0.4771677
24.90259,-0.4765383
24.93627,-0.4769514
24.9682,-0.4778191
25.00316,-0.4770351
25.03204,-0.4763172
25.0636,-0.475383
25.09865,-0.4747032
25.1307,-0.4749566
25.16734,-0.4740902
25.20167,-0.4743105
25.23398,-0.4756282
25.2657,-0.4768105
25.29856,-0.4787064
25.33288,-0.4801695
25.36786,-0.4804715
25.40072,-0.4786048
25.43556,-0.4768589
25.46859,-0.4740077
25.50468,-0.4696909
25.53716,-0.4670399
25.56549,-0.464379
25.60216,-0.462352
25.63551,-0.4618885
25.66616,-0.4615845
25.70253,-0.4615007
25.73324,-0.4614111
25.76621,-0.4611438
25.79729,-0.4611964
25.835,-0.4611694
