Time, Nose_Acceleration
17.30341,339.481
17.33463,313.6598
17.36739,401.4309
17.39946,594.2762
17.43183,369.8666
17.46589,504.872
17.50274,320.5967
17.53643,523.6289
17.56826,399.1152
17.60041,531.6502
17.63418,784.3046
17.66976,399.5136
17.70392,456.511
17.73723,1770.734
17.76527,2237.266
17.80255,1136.359
17.83477,950.268
17.86619,2128.044
17.8942,2304.138
17.93293,1825.198
17.96564,561.4058
17.99827,883.2861
18.03183,674.7573
18.06733,761.8463
18.09868,856.9222
18.13072,1131.115
18.16549,1114.465
18.19843,714.0551
18.23043,567.2667
18.26702,486.3553
18.2993,500.4466
18.33489,397.0863
18.36587,420.4294
18.40099,433.5956
18.43283,564.3539
18.4682,555.3925
18.5,260.6556
18.53201,165.7071
18.56718,484.4705
18.60141,387.7352
18.63199,314.4472
18.66506,460.6882
18.69833,133.4585
18.74112,10.0045
18.76039,195.7442
18.79517,166.1595
18.82638,239.8425
18.86209,356.7983
18.89906,272.4615
18.92785,433.5914
18.96461,354.3791
18.99188,353.5262
19.02887,179.7397
19.06634,109.0298
19.09498,170.5032
19.13222,107.9082
19.16409,113.9779
19.20087,196.2155
19.23401,297.036
19.26575,362.8394
19.29973,740.2379
19.33069,545.4174
19.36525,585.2086
19.40137,419.7302
19.4294,339.8335
19.46621,388.9001
19.49885,148.6529
19.53439,176.5412
19.56777,137.0065
19.60051,122.7467
19.63378,160.8104
19.6654,145.7302
19.69747,180.0032
19.73384,267.5754
19.76135,232.2485
19.79255,195.5045
19.82531,171.34
19.86273,252.5379
19.90002,162.728
19.93526,248.0152
19.96845,208.7287
20.00019,114.0356
20.03476,177.1896
20.07142,153.7699
20.10197,207.2663
20.13416,144.7544
20.16954,168.1794
20.19666,238.9928
20.233,181.012
20.26977,160.7239
20.30245,132.0144
20.33454,127.4133
20.367,90.09193
20.40422,65.36967
20.43289,94.62096
20.46975,37.43667
20.50203,205.0199
20.53446,343.9269
20.56793,300.3979
20.60231,169.0251
20.63417,54.1979
20.67096,294.9844
20.70271,312.783
20.73504,236.9572
20.76754,215.1424
20.80153,125.4178
20.83519,78.03896
20.87832,35.24125
20.90559,79.3895
20.93461,359.0812
20.9689,933.351
21.0055,1307.344
21.03444,52.11506
21.06681,368.5069
21.10352,916.027
21.13561,1256.593
21.16684,61.25399
21.20257,130.3405
21.23428,148.2591
21.27051,121.4628
21.30342,103.809
21.33944,9.712013
21.37534,8.962029
21.40666,13.60929
21.43823,153.4638
21.4778,149.8314
21.50982,160.7476
21.54298,392.0702
21.57918,205.1874
21.61122,333.4041
21.6451,282.8237
21.67835,156.7148
21.71781,189.9141
21.74867,178.1292
21.78358,1187.293
21.81466,212.7279
21.84554,194.849
21.87815,170.0339
21.91063,926.8671
21.94374,216.6447
21.98317,51.39118
22.01393,57.29742
22.05076,53.27755
22.07977,41.00148
22.11655,54.46335
22.14651,94.30901
22.18431,83.35547
22.21559,96.04157
22.25128,89.93253
22.28345,98.76871
22.31911,40.53953
