Time, Pelvis Velocity
10.60041,2.747712
10.63596,2.391935
10.66901,2.122459
10.70012,2.351477
10.7348,3.891785
10.76778,1.294756
10.80035,1.767633
10.83458,1.389946
10.87192,0.2421167
10.90257,1.191742
10.93353,1.123599
10.96913,1.491057
10.99982,1.555361
11.03482,0.8053302
11.0689,0.9044147
11.10068,0.6292533
11.13561,1.196286
11.16762,2.102874
11.20489,2.156194
11.23491,2.580251
11.26797,2.010415
11.30222,2.509643
11.33456,1.050265
11.36937,0.9862642
11.40228,0.7285673
11.43536,0.5701764
11.4682,0.5678315
11.50277,0.957131
11.53512,1.296396
11.56698,1.299164
11.60208,1.359643
11.63409,2.632263
11.66798,3.706602
11.70196,3.461524
11.73427,2.899976
11.76831,1.34938
11.80129,2.226588
11.83479,0.6182069
11.86875,2.50406
11.90157,2.297762
11.93425,1.469092
11.96965,0.4018673
12.00184,1.322738
12.03795,1.307401
12.06848,0.6380107
12.10245,1.021051
12.13496,0.9491807
12.1691,1.067354
12.20049,1.096483
12.23633,1.214382
12.26959,2.031163
12.3026,3.191639
12.33356,3.968376
12.36878,4.64131
12.40115,3.329398
12.43685,1.558581
12.46765,1.012032
12.50028,0.8687151
12.53659,0.8003499
12.56775,0.674674
12.60026,1.56219
12.63612,1.804437
12.669,0.9696082
12.70229,1.702638
12.73598,1.313592
12.76915,1.886973
12.80245,2.275956
12.83556,1.842957
12.86775,1.090858
12.89994,0.9755699
12.93461,1.435961
12.96894,2.251217
13.0015,1.422332
13.03485,1.649091
13.06918,2.344989
13.10183,1.684758
13.13454,1.822123
13.16868,2.556917
13.20217,3.084069
13.23526,3.724836
13.26737,2.457454
13.30043,2.456294
13.33562,2.489067
13.36809,2.39914
13.40332,2.50989
13.44,1.715785
13.46798,1.889726
13.50058,1.842227
13.53568,2.790014
13.56757,3.646285
13.60217,2.06726
13.63473,3.097433
13.66972,0.5126892
13.70022,1.209955
13.73616,1.702304
13.76837,2.251892
13.80378,2.19353
13.83456,2.61954
13.86874,1.180682
13.90154,1.629021
13.93661,1.861374
13.96967,2.900818
14.00242,4.221083
14.03421,4.632562
14.06657,4.281992
14.10137,4.49159
14.13403,2.475479
14.16684,1.896837
14.20077,1.778666
14.23798,1.835766
14.2692,0.9434108
14.3058,1.024128
14.33619,1.162376
14.36858,1.219977
14.40532,1.204618
14.4353,1.677818
14.83454,11.38516
14.86823,11.72375
14.90253,12.05297
14.93582,11.58362
14.96873,2.072016
15.00233,5.187579
15.03672,5.46888
15.06919,5.279639
15.10164,5.510358
15.13595,1.341805
15.16896,2.029622
15.20194,2.51764
15.23497,1.6859
15.28252,0.3384082
15.30234,1.273406
15.33608,1.548574
15.36771,1.352393
15.40166,1.243354
15.43576,0.8761788
15.47,0.6391553
15.50089,0.732004
15.53593,0.8645287
15.56924,1.416379
15.60175,1.712172
15.63673,1.678571
15.6738,1.469724
15.70178,1.780906
15.7355,1.56455
15.76773,1.395651
15.80152,1.516348
15.83472,1.605012
15.86807,1.196376
15.90317,0.6047019
15.9359,0.5723181
15.96933,0.4530557
16.00287,1.128558
16.03594,0.9569088
16.06761,1.257088
16.10171,1.121566
16.13446,0.8248124
16.16891,1.101584
16.20303,0.3314101
16.23586,0.9548919
16.26939,1.169971
16.30061,0.8371287
16.33499,0.8537962
16.3704,0.1624458
16.40213,0.017011
16.43561,0.5578053
16.46807,0.4685249
16.50282,0.7260573
16.53691,0.6616184
16.57268,0.3298621
16.60203,0.234537
16.63693,0.04919711
16.67513,0.0428134
16.70247,0.03867682
16.73715,0.01969137
16.76793,0.2381959
16.80068,0.3234799
16.83581,0.4734221
16.87008,0.5042992
16.9041,0.3088315
16.9355,0.1334931
16.97165,0.1228364
17.00308,0.1417448
17.03518,0.03113567
17.0697,0.208864
