Time, Nose_Z
30.07257,1.422609
30.10747,1.422153
30.13877,1.421925
30.17914,1.421548
30.20917,1.420863
30.24521,1.42022
30.28287,1.419235
30.31682,1.41831
30.34847,1.418004
30.38434,1.417999
30.42119,1.419508
30.45752,1.420414
30.49264,1.421286
30.52907,1.421941
30.56418,1.421526
30.6007,1.421883
30.63956,1.422551
30.67555,1.424384
30.70796,1.425504
30.73921,1.425702
30.77575,1.425472
30.80764,1.423669
30.84016,1.42126
30.87529,1.419558
30.90807,1.418431
30.93981,1.418199
30.97242,1.420262
31.00328,1.423045
31.03747,1.426357
31.06947,1.427619
31.10546,1.427605
31.13994,1.428281
31.17421,1.42866
31.20561,1.430466
31.24095,1.433108
31.27229,1.43564
31.30533,1.438396
31.34187,1.441732
31.37788,1.444292
31.40934,1.446226
31.44674,1.448258
31.47399,1.450548
31.51437,1.453264
31.54725,1.455441
31.58228,1.456687
31.62128,1.456952
31.65218,1.456838
31.68781,1.456619
31.72385,1.456507
31.76057,1.456553
31.79515,1.456032
31.83125,1.45615
31.8632,1.456283
31.89831,1.456334
31.93498,1.456843
31.96643,1.455752
32.00666,1.454216
32.03918,1.452916
32.07284,1.451707
32.10811,1.451373
32.14258,1.451356
32.17934,1.450821
32.21221,1.450614
32.24759,1.449995
32.28386,1.448869
32.32204,1.448185
32.35749,1.447566
32.38884,1.448613
32.42525,1.448101
32.45622,1.447959
32.4927,1.447372
32.52455,1.445236
32.55968,1.444724
32.59314,1.443273
32.62886,1.442088
32.66166,1.441294
32.69449,1.440663
32.72775,1.440546
32.76441,1.44031
32.79735,1.439766
32.82951,1.438941
32.86618,1.438688
32.9001,1.438422
32.93433,1.43842
32.96725,1.438956
33.00491,1.438892
33.03578,1.43885
33.07166,1.438858
33.1031,1.439291
33.13842,1.439835
33.1701,1.440528
33.20757,1.441025
33.24017,1.440965
33.27766,1.440789
33.30667,1.440485
33.34044,1.4403
33.37212,1.440066
33.40817,1.439661
33.44075,1.43869
33.47304,1.437485
33.50572,1.436436
33.54052,1.435587
33.57271,1.43511
33.60425,1.4349
33.63622,1.434968
33.67592,1.43502
33.70316,1.435002
33.73832,1.434903
33.77385,1.434471
33.80141,1.434079
33.83807,1.433958
33.87136,1.433803
33.90858,1.433169
33.94096,1.432526
33.97607,1.431826
34.00878,1.430781
34.03928,1.429802
34.07605,1.428394
34.11053,1.426749
34.14229,1.425259
34.1737,1.423315
34.21283,1.421587
34.24338,1.419426
34.275,1.416688
34.30706,1.414346
34.33808,1.411239
34.37318,1.407429
34.40851,1.40236
34.44217,1.397373
34.47645,1.392791
34.50868,1.389197
34.54519,1.387873
34.5776,1.386877
34.60938,1.386397
34.64179,1.38596
34.67833,1.385122
34.71141,1.383978
34.74029,1.383006
34.77621,1.381926
34.80796,1.380965
34.84396,1.378494
34.87452,1.373294
34.90533,1.36854
34.94049,1.363561
34.97129,1.360711
35.00588,1.360486
35.03555,1.360098
35.06974,1.359988
35.10814,1.359432
35.14338,1.358862
35.17265,1.358242
35.20769,1.357694
35.24284,1.356458
35.27786,1.354605
35.31174,1.352274
35.34487,1.349965
35.37855,1.348586
35.41132,1.34819
35.44733,1.348538
35.48082,1.348628
35.51473,1.348554
35.54501,1.348059
35.58156,1.347699
35.61609,1.347589
35.65132,1.347654
35.68231,1.347784
35.71792,1.347773
35.75132,1.347773
35.78216,1.347773
