Time, Pelvis_Velocity
12.54068,0.2247483
12.5807,0.3567097
12.61509,0.4398979
12.65102,0.2946715
12.68062,0.2820439
12.71468,0.1068139
12.75219,0.07831496
12.78899,0.2316117
12.82606,0.2122102
12.85867,0.381206
12.89363,0.425092
12.92839,0.3904828
12.96105,0.3946418
12.99606,0.5665158
13.03269,0.379088
13.06991,0.5824307
13.10131,0.4828562
13.13727,0.4394307
13.17013,0.37882
13.20632,0.3447605
13.23573,0.1575239
13.27192,0.1236071
13.30562,0.2499862
13.33922,0.2548368
13.37295,0.1647944
13.40671,0.2212164
13.43851,0.1698431
13.46758,0.2994276
13.50691,0.1410372
13.53896,0.2646352
13.57178,0.1802363
13.60476,0.4984982
13.64073,0.3975802
13.67714,0.5163933
13.70732,0.3179771
13.74188,0.2453096
13.78078,0.2168747
13.81378,0.5014125
13.84774,0.6256066
13.88325,0.5819045
13.91567,0.6244916
13.94834,0.7261233
13.98483,0.6191722
14.02019,0.6209749
14.05542,0.5563873
14.08875,0.7745293
14.12462,0.5440909
14.15798,0.5593607
14.1892,1.607064
14.22526,1.033932
14.26087,0.8150219
14.29628,0.7964191
14.32513,0.2766683
14.36231,1.289361
14.39546,1.619564
14.42864,1.849994
14.46643,2.27159
14.50481,0.865737
14.53022,3.125413
14.56343,3.464648
14.60013,3.559725
14.63641,2.839883
14.6676,3.341538
14.70423,3.845428
14.74207,2.384087
14.77656,2.547518
14.81421,1.873618
14.84681,1.620395
14.88603,1.211493
14.91851,1.163631
14.95566,1.1305
14.99181,0.8132294
15.02774,0.6838868
15.06196,0.8893476
15.0959,0.8660394
15.1333,1.327039
15.16558,2.636351
15.19862,2.709004
15.23563,5.261073
15.26984,5.334106
15.30545,5.625996
15.34143,6.736182
15.37942,4.738867
15.41149,4.977545
15.45073,3.275339
15.49079,1.616294
15.52648,0.9397739
15.56392,0.3834759
15.60278,0.3749438
15.63979,0.1549546
15.67235,0.1424599
15.71234,0.3440654
15.74775,0.3439575
15.78468,0.281963
15.82269,0.3190188
15.85556,0.3488942
15.89816,0.669348
15.92947,1.289154
15.96351,1.272412
16.00144,1.463997
16.03782,1.141568
16.0792,0.7330717
16.11243,0.6061669
16.14848,0.8873045
16.18604,1.405551
16.22135,1.767694
16.25937,2.252191
16.29473,2.183432
16.32807,2.861975
16.36395,4.657423
16.39456,5.482355
16.43008,5.780379
16.46973,5.891051
16.50103,5.282609
16.53407,5.402805
16.56527,3.864707
16.60163,3.449521
16.63111,2.520051
16.67001,0.6745303
16.69552,1.802378
16.7258,1.410325
16.75912,0.7431626
16.79141,1.981873
16.82597,1.938797
16.85799,1.626188
16.89598,1.524189
16.93141,0.8699453
16.9624,0.8699483
16.99501,1.019857
17.02619,1.482579
17.06544,1.103063
17.10083,1.326408
17.13303,1.009216
17.16581,0.9161149
17.19875,1.02888
17.23265,1.170585
17.26359,1.748754
17.30341,1.496004
17.33463,1.255257
17.36739,1.720205
17.39946,2.05763
17.43183,1.872236
17.46589,2.353517
17.50274,1.785594
17.53643,1.873952
17.56826,1.576368
17.60041,1.667237
17.63418,1.621639
17.66976,1.199609
17.70392,1.102104
17.73723,1.13132
17.76527,1.498613
17.80255,1.432846
17.83477,1.684664
17.86619,1.600465
17.8942,1.544194
17.93293,1.34598
17.96564,1.436891
17.99827,2.796325
18.03183,3.296775
18.06733,4.329562
18.09868,4.210219
18.13072,3.891359
18.16549,3.751163
18.19843,2.704496
18.23043,3.293439
18.26702,3.047544
18.2993,2.313205
18.33489,1.578151
18.36587,1.661595
18.40099,1.747486
18.43283,1.312712
18.4682,1.237843
18.5,0.5793551
18.53201,0.231749
18.56718,0.2535467
18.60141,0.3500159
18.63199,0.7851183
18.66506,1.127058
18.69833,0.7099047
18.74112,0.1929849
18.76039,0.3603351
18.79517,0.2522633
18.82638,0.2804459
18.86209,0.4691018
18.89906,0.4358688
18.92785,0.7190872
18.96461,0.7512056
18.99188,1.221171
19.02887,0.3505345
19.06634,0.4453165
19.09498,0.6216835
19.13222,0.6689566
19.16409,0.2793675
19.20087,0.4095497
19.23401,0.3481129
19.26575,0.2480888
19.29973,0.8158727
19.33069,0.4644988
19.36525,0.3338268
19.40137,0.5296282
19.4294,0.3934291
19.46621,0.6151142
19.49885,0.585058
19.53439,0.456565
19.56777,0.2571727
19.60051,0.2068649
19.63378,0.7382554
19.6654,0.9440064
19.69747,0.9721462
19.73384,1.000126
19.76135,0.6017908
19.79255,1.072881
19.82531,0.9681492
19.86273,0.7175397
19.90002,1.046434
19.93526,1.60544
19.96845,1.121568
20.00019,0.4891365
20.03476,0.6735496
20.07142,0.5118985
20.10197,0.8237492
20.13416,0.7694732
20.16954,0.5193759
20.19666,0.4724474
20.233,0.140701
20.26977,0.4371253
20.30245,0.9643522
20.33454,1.058276
20.367,1.005201
20.40422,0.3550813
20.43289,0.3503038
20.46975,0.4334694
20.50203,0.3644533
20.53446,0.5797569
20.56793,0.3189814
20.60231,0.4768265
20.63417,0.5191377
20.67096,0.3428259
20.70271,0.1838508
20.73504,0.3488316
20.76754,0.4149511
20.80153,1.311602
20.83519,1.303822
20.87832,1.63252
20.90559,1.26688
20.93461,0.6648069
20.9689,0.7834584
21.0055,1.869262
21.03444,1.471367
21.06681,1.467935
21.10352,1.071239
21.13561,0.4294315
21.16684,0.1265658
21.20257,0.1956805
21.23428,0.2083997
21.27051,0.1379024
21.30342,0.1276048
21.33944,0.02535382
21.37534,0.02369286
21.40666,0.01536825
21.43823,1.011017
21.4778,0.9449911
21.50982,0.8949885
21.54298,1.167664
21.57918,1.051919
21.61122,1.588478
21.6451,1.631546
21.67835,0.8936529
21.71781,0.6488608
21.74867,0.5750361
21.78358,1.179541
21.81466,1.047785
21.84554,1.218783
21.87815,0.8016898
21.91063,1.17312
21.94374,1.068799
21.98317,0.3864797
22.01393,1.610096
22.05076,1.175678
22.07977,1.059043
22.11655,0.3875397
22.14651,0.3640118
22.18431,0.3326257
22.21559,0.3472386
22.25128,0.3536807
22.28345,0.3876084
22.31911,0.5777639
22.352,0.5648767
22.38784,0.7315568
22.42125,0.7050472
22.45245,0.328221
22.49174,0.2513225
22.52316,0.4132473
22.55988,0.4772702
22.59148,0.6401743
22.62365,0.7926302
22.65607,0.4519182
22.69102,0.348639
22.72743,0.2865753
22.7602,0.08692618
22.79361,0.5073267
22.82673,0.3021797
22.863,0.3132424
22.9052,0.06418142
22.92875,0.2205601
22.9592,0.2154848
22.99756,0.2197601
23.0292,0.1148033
23.06507,0.04103433
23.09721,0.5463243
23.13076,0.4661488
23.1622,0.6821938
23.19677,0.540919
23.22911,0.5551275
23.26004,0.3399012
23.29649,0.4067945
23.33195,0.8477376
23.3658,0.7792643
23.40193,1.092039
23.43512,1.225088
23.46714,0.7350548
23.50297,0.8660701
23.53825,0.7969632
23.56954,1.046536
23.60176,0.7082307
23.63859,0.5897539
23.67419,0.8740364
23.70642,0.6332208
23.73864,0.3999294
23.76963,0.3315279
23.8035,0.823398
23.83579,0.4498682
23.87217,0.6398866
23.90419,0.5493023
23.93192,0.968625
23.96688,0.8426894
23.99823,0.3923486
24.03392,0.05097162
24.06973,0.3218834
24.10116,0.6564767
24.13287,1.088161
24.16474,0.7617261
24.19723,0.6419522
24.23751,0.5998631
24.2689,0.4066535
24.30637,0.1997148
24.34076,0.2362255
24.3736,0.3051944
24.40622,0.2493313
24.43934,0.1853794
24.46807,0.4269457
24.50415,0.5314316
24.53293,0.2377259
24.5687,0.1941845
24.60263,0.2131446
24.63412,0.3186201
24.66947,0.3668172
24.70038,0.3236436
24.73636,0.3917219
24.76955,0.3683787
24.80172,0.467944
24.83453,0.8549824
24.87064,1.143034
24.90259,1.217712
24.93627,0.1921179
24.9682,0.6675273
25.00316,1.052398
25.03204,1.171253
25.0636,0.662396
25.09865,0.6472752
25.1307,0.8964423
25.16734,0.706009
25.20167,0.5139558
25.23398,0.6414182
25.2657,0.653739
25.29856,1.181908
25.33288,1.241663
25.36786,0.7627836
25.40072,0.4412775
25.43556,1.382918
25.46859,1.368182
25.50468,2.03609
25.53716,2.115667
25.56549,1.218228
25.60216,1.383503
25.63551,1.50965
25.66616,3.036789
25.70253,1.677983
25.73324,0.7478301
25.76621,0.5806844
25.79729,0.4993111
25.835,0.5765571
25.86853,0.5308019
25.90062,0.6269426
25.92925,0.7718112
25.97086,0.9693117
25.99879,0.9161638
26.03172,1.218725
26.0675,0.7459998
26.09846,0.9608993
