Time, Nose_X
8.850333,0.1132543
8.883898,0.0904875
8.919714,0.06723069
8.955318,0.04392419
8.986584,0.01594588
9.018457,-0.01125055
9.054518,-0.03642115
9.092321,-0.05950863
9.124497,-0.07575385
9.160652,-0.09080707
9.196793,-0.1045598
9.231955,-0.1168752
9.264508,-0.1277869
9.305629,-0.1365755
9.338034,-0.142566
9.377733,-0.1484758
9.41039,-0.1527379
9.445821,-0.1559843
9.48117,-0.1589696
9.516063,-0.160192
9.548945,-0.1605908
9.585188,-0.1598568
9.616914,-0.1587497
9.652282,-0.1562233
9.687609,-0.153076
9.724254,-0.1463522
9.759755,-0.1375532
9.789574,-0.1266294
9.825217,-0.1132493
9.862797,-0.1010337
9.890396,-0.08749203
9.925343,-0.07244126
9.962103,-0.05647942
9.996546,-0.03777244
10.03042,-0.01760023
10.06721,0.003068414
10.09803,0.02461559
10.13323,0.04426256
10.16539,0.06386522
10.20196,0.08224527
10.23393,0.09938576
10.26677,0.1161923
10.302,0.1300784
10.33659,0.1428462
10.36825,0.1534557
10.40073,0.1619738
10.43485,0.1685519
10.46677,0.1700674
10.50285,0.1679648
10.53932,0.1617815
10.56759,0.1479504
10.60214,0.1305231
10.63823,0.1104649
10.67084,0.08841462
10.70253,0.07105947
10.73447,0.05727809
10.76969,0.04469599
10.80246,0.03582906
10.83547,0.0287329
10.86823,0.0222608
10.90223,0.01813091
10.93581,0.0138376
10.97163,0.01004895
11.00445,0.007022196
11.0358,0.004865384
11.06726,0.003853884
11.10086,0.002831286
11.13691,0.002380085
11.16946,0.002551973
11.20202,0.003046641
11.23534,0.004733971
11.26714,0.007742554
11.29912,0.01278804
11.33573,0.01991081
11.36849,0.03012943
11.40331,0.04575327
11.43489,0.06347615
11.46721,0.08276545
11.50043,0.1031948
11.53296,0.1201132
11.56502,0.1346587
11.6018,0.1460103
11.63521,0.1531207
11.66653,0.1572966
11.70225,0.1592599
11.7343,0.1604751
11.77205,0.1608565
11.80022,0.1609916
11.83644,0.1610406
11.86888,0.1608651
11.90168,0.1604337
11.93469,0.1598993
11.96663,0.1591682
11.99945,0.1581323
12.03461,0.1568189
12.06953,0.1554749
12.1021,0.1542844
12.13721,0.1532226
12.16864,0.1524066
12.20041,0.1511514
12.23272,0.1495852
12.26457,0.1474739
12.30231,0.144991
12.33715,0.1420376
12.37287,0.1387753
12.40598,0.1352796
12.44184,0.1320929
12.47759,0.129022
12.50935,0.1264607
12.54068,0.1243753
12.5807,0.1222826
12.61509,0.1214508
12.65102,0.1206736
12.68062,0.1199018
12.71468,0.1194978
12.75219,0.1183099
12.78899,0.1167945
12.82606,0.1153763
12.85867,0.1133665
12.89363,0.1110611
12.92839,0.1090946
12.96105,0.1070388
12.99606,0.1048602
13.03269,0.102599
13.06991,0.1005417
13.10131,0.09804185
13.13727,0.09450041
13.17013,0.09069537
13.20632,0.08573696
13.23573,0.08023711
13.27192,0.07596908
13.30562,0.07255937
13.33922,0.0693699
13.37295,0.0677276
13.40671,0.06619344
13.43851,0.06476501
13.46758,0.06435982
13.50691,0.06349436
